,Ax,Az,Bx,Bz,Mx,Mz,Nx,Nz,Voltage,Uncertainty
0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,6.231661469325373,0.3115830734662687
1,0.0,0.0,0.0,0.0,30.0,0.0,30.0,0.0,3.599837681267331,0.17999188406336653
2,0.0,0.0,0.0,0.0,40.0,0.0,40.0,0.0,2.419607259733499,0.12098036298667497
3,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,1.4280903247775305,0.07140451623887652
4,0.0,0.0,0.0,0.0,60.0,0.0,60.0,0.0,1.011233455911155,0.050561672795557754
5,0.0,0.0,0.0,0.0,70.0,0.0,70.0,0.0,0.7478809988416059,0.037394049942080294
6,0.0,0.0,0.0,0.0,80.0,0.0,80.0,0.0,0.4671333013765122,0.02335666506882561
7,0.0,0.0,0.0,0.0,90.0,0.0,90.0,0.0,0.2740867103939995,0.013704335519699976
8,10.0,0.0,10.0,0.0,30.0,0.0,30.0,0.0,6.285335029659933,0.31426675148299665
9,10.0,0.0,10.0,0.0,40.0,0.0,40.0,0.0,3.488742000720285,0.17443710003601423
10,10.0,0.0,10.0,0.0,50.0,0.0,50.0,0.0,2.4072312845245984,0.12036156422622993
11,10.0,0.0,10.0,0.0,60.0,0.0,60.0,0.0,1.5506546257353864,0.07753273128676932
12,10.0,0.0,10.0,0.0,70.0,0.0,70.0,0.0,0.9870044812102567,0.049350224060512836
13,10.0,0.0,10.0,0.0,80.0,0.0,80.0,0.0,0.6408891798694649,0.032044458993473246
14,10.0,0.0,10.0,0.0,90.0,0.0,90.0,0.0,0.385428983119491,0.01927144915597455
15,10.0,0.0,10.0,0.0,100.0,0.0,100.0,0.0,0.33127364831362677,0.016563682415681336
16,20.0,0.0,20.0,0.0,40.0,0.0,40.0,0.0,6.249016916600647,0.31245084583003235
17,20.0,0.0,20.0,0.0,50.0,0.0,50.0,0.0,3.612085505959181,0.18060427529795905
18,20.0,0.0,20.0,0.0,60.0,0.0,60.0,0.0,2.4021594339644974,0.12010797169822487
19,20.0,0.0,20.0,0.0,70.0,0.0,70.0,0.0,1.4771696967235621,0.07385848483617811
20,20.0,0.0,20.0,0.0,80.0,0.0,80.0,0.0,0.9555512682309489,0.047777563411547444
21,20.0,0.0,20.0,0.0,90.0,0.0,90.0,0.0,0.5313665580719412,0.02656832790359706
22,20.0,0.0,20.0,0.0,100.0,0.0,100.0,0.0,0.40723058763146563,0.020361529381573283
23,20.0,0.0,20.0,0.0,110.0,0.0,110.0,0.0,0.3762208544083933,0.018811042720419665
24,30.0,0.0,30.0,0.0,50.0,0.0,50.0,0.0,6.264828718726472,0.3132414359363236
25,30.0,0.0,30.0,0.0,60.0,0.0,60.0,0.0,3.605420637274208,0.1802710318637104
26,30.0,0.0,30.0,0.0,70.0,0.0,70.0,0.0,2.27722424919049,0.11386121245952449
27,30.0,0.0,30.0,0.0,80.0,0.0,80.0,0.0,1.3250605600991978,0.06625302800495989
28,30.0,0.0,30.0,0.0,90.0,0.0,90.0,0.0,0.7647473762412447,0.03823736881206223
29,30.0,0.0,30.0,0.0,100.0,0.0,100.0,0.0,0.551615001647471,0.02758075008237355
30,30.0,0.0,30.0,0.0,110.0,0.0,110.0,0.0,0.5155609145904334,0.02577804572952167
31,30.0,0.0,30.0,0.0,120.0,0.0,120.0,0.0,0.4013550109709147,0.020067750548545735
32,40.0,0.0,40.0,0.0,60.0,0.0,60.0,0.0,6.068332621992169,0.3034166310996084
33,40.0,0.0,40.0,0.0,70.0,0.0,70.0,0.0,3.5004660407022117,0.17502330203511057
34,40.0,0.0,40.0,0.0,80.0,0.0,80.0,0.0,2.1482054791991723,0.10741027395995861
35,40.0,0.0,40.0,0.0,90.0,0.0,90.0,0.0,1.0823017455017967,0.05411508727508983
36,40.0,0.0,40.0,0.0,100.0,0.0,100.0,0.0,0.7959475439508228,0.039797377197541145
37,40.0,0.0,40.0,0.0,110.0,0.0,110.0,0.0,0.6851039669469099,0.03425519834734549
38,40.0,0.0,40.0,0.0,120.0,0.0,120.0,0.0,0.5874109898047976,0.029370549490239876
39,40.0,0.0,40.0,0.0,130.0,0.0,130.0,0.0,0.3661031808002193,0.018305159040010965
40,50.0,0.0,50.0,0.0,70.0,0.0,70.0,0.0,5.918898763436784,0.29594493817183914
41,50.0,0.0,50.0,0.0,80.0,0.0,80.0,0.0,3.196913803466114,0.1598456901733057
42,50.0,0.0,50.0,0.0,90.0,0.0,90.0,0.0,1.5824307777591666,0.07912153888795834
43,50.0,0.0,50.0,0.0,100.0,0.0,100.0,0.0,1.1892789970133293,0.05946394985066647
44,50.0,0.0,50.0,0.0,110.0,0.0,110.0,0.0,0.9451870371011819,0.04725935185505909
45,50.0,0.0,50.0,0.0,120.0,0.0,120.0,0.0,0.6666262209986109,0.03333131104993055
46,50.0,0.0,50.0,0.0,130.0,0.0,130.0,0.0,0.5327154267777334,0.026635771338886675
47,50.0,0.0,50.0,0.0,140.0,0.0,140.0,0.0,0.40170402470888616,0.02008520123544431
48,60.0,0.0,60.0,0.0,80.0,0.0,80.0,0.0,5.633801280345637,0.28169006401728186
49,60.0,0.0,60.0,0.0,90.0,0.0,90.0,0.0,2.5029731721160404,0.12514865860580202
50,60.0,0.0,60.0,0.0,100.0,0.0,100.0,0.0,1.6541259757681064,0.08270629878840532
51,60.0,0.0,60.0,0.0,110.0,0.0,110.0,0.0,1.4413302334363962,0.07206651167181981
52,60.0,0.0,60.0,0.0,120.0,0.0,120.0,0.0,1.0073708475283363,0.05036854237641682
53,60.0,0.0,60.0,0.0,130.0,0.0,130.0,0.0,0.7109710928972789,0.03554855464486394
54,60.0,0.0,60.0,0.0,140.0,0.0,140.0,0.0,0.53689077577603,0.026844538788801494
55,60.0,0.0,60.0,0.0,150.0,0.0,150.0,0.0,0.36013646573332636,0.018006823286666317
56,80.0,0.0,80.0,0.0,100.0,0.0,100.0,0.0,3.6258827202849533,0.18129413601424765
57,80.0,0.0,80.0,0.0,110.0,0.0,110.0,0.0,2.8948390375931816,0.14474195187965908
58,80.0,0.0,80.0,0.0,120.0,0.0,120.0,0.0,1.9883890254679857,0.09941945127339928
59,80.0,0.0,80.0,0.0,130.0,0.0,130.0,0.0,1.448198498721267,0.07240992493606335
60,80.0,0.0,80.0,0.0,140.0,0.0,140.0,0.0,0.9538648217396034,0.04769324108698017
61,80.0,0.0,80.0,0.0,150.0,0.0,150.0,0.0,0.825566421003467,0.04127832105017335
62,80.0,0.0,80.0,0.0,160.0,0.0,160.0,0.0,0.5486793491097195,0.027433967455485975
63,80.0,0.0,80.0,0.0,170.0,0.0,170.0,0.0,0.39013694229818535,0.019506847114909267
64,100.0,0.0,100.0,0.0,120.0,0.0,120.0,0.0,3.969950724145053,0.19849753620725266
65,100.0,0.0,100.0,0.0,130.0,0.0,130.0,0.0,2.4863888429255794,0.12431944214627898
66,100.0,0.0,100.0,0.0,140.0,0.0,140.0,0.0,1.7124295575565436,0.08562147787782719
67,100.0,0.0,100.0,0.0,150.0,0.0,150.0,0.0,1.2042312103410122,0.06021156051705061
68,100.0,0.0,100.0,0.0,160.0,0.0,160.0,0.0,0.7956320690768195,0.03978160345384097
69,100.0,0.0,100.0,0.0,170.0,0.0,170.0,0.0,0.548549239780722,0.0274274619890361
70,100.0,0.0,100.0,0.0,180.0,0.0,180.0,0.0,0.47925366915524825,0.023962683457762413
71,100.0,0.0,100.0,0.0,190.0,0.0,190.0,0.0,0.3018905410752984,0.01509452705376492
72,120.0,0.0,120.0,0.0,140.0,0.0,140.0,0.0,5.674418564068247,0.2837209282034124
73,120.0,0.0,120.0,0.0,150.0,0.0,150.0,0.0,2.881658083614556,0.1440829041807278
74,120.0,0.0,120.0,0.0,160.0,0.0,160.0,0.0,1.9884394091703623,0.09942197045851811
75,120.0,0.0,120.0,0.0,170.0,0.0,170.0,0.0,1.345303387803397,0.06726516939016985
76,120.0,0.0,120.0,0.0,180.0,0.0,180.0,0.0,0.9827563604423581,0.049137818022117905
77,120.0,0.0,120.0,0.0,190.0,0.0,190.0,0.0,0.670316167872601,0.033515808393630046
78,120.0,0.0,120.0,0.0,200.0,0.0,200.0,0.0,0.46248914723329476,0.023124457361664737
79,160.0,0.0,160.0,0.0,180.0,0.0,180.0,0.0,6.456506118430835,0.32282530592154174
80,160.0,0.0,160.0,0.0,190.0,0.0,190.0,0.0,3.384783536292054,0.1692391768146027
81,160.0,0.0,160.0,0.0,200.0,0.0,200.0,0.0,2.4445693262132777,0.12222846631066389
82,130.0,0.0,130.0,0.0,150.0,0.0,150.0,0.0,5.753577789388036,0.2876788894694018
83,130.0,0.0,130.0,0.0,160.0,0.0,160.0,0.0,3.445882578931623,0.17229412894658114
84,130.0,0.0,130.0,0.0,170.0,0.0,170.0,0.0,2.168707470218566,0.10843537351092829
85,130.0,0.0,130.0,0.0,180.0,0.0,180.0,0.0,1.2545755837651584,0.06272877918825792
86,130.0,0.0,130.0,0.0,190.0,0.0,190.0,0.0,0.9424043743183579,0.04712021871591789
87,130.0,0.0,130.0,0.0,200.0,0.0,200.0,0.0,0.7644092213504043,0.038220461067520216
88,170.0,0.0,170.0,0.0,190.0,0.0,190.0,0.0,6.5771892412122925,0.3288594620606146
89,170.0,0.0,170.0,0.0,200.0,0.0,200.0,0.0,3.7562827149909768,0.18781413574954883
90,70.0,0.0,70.0,0.0,90.0,0.0,90.0,0.0,4.326659209570717,0.21633296047853584
91,70.0,0.0,70.0,0.0,100.0,0.0,100.0,0.0,2.4402787043990677,0.12201393521995339
92,70.0,0.0,70.0,0.0,110.0,0.0,110.0,0.0,2.033960984814261,0.10169804924071305
93,70.0,0.0,70.0,0.0,120.0,0.0,120.0,0.0,1.361607656415471,0.06808038282077356
94,70.0,0.0,70.0,0.0,130.0,0.0,130.0,0.0,0.9892444590327385,0.04946222295163692
95,70.0,0.0,70.0,0.0,140.0,0.0,140.0,0.0,0.6884937457089437,0.03442468728544719
96,70.0,0.0,70.0,0.0,150.0,0.0,150.0,0.0,0.5364291403583439,0.026821457017917192
97,70.0,0.0,70.0,0.0,160.0,0.0,160.0,0.0,0.40717790690883976,0.020358895345441986
98,90.0,0.0,90.0,0.0,110.0,0.0,110.0,0.0,4.285069877466534,0.2142534938733267
99,90.0,0.0,90.0,0.0,120.0,0.0,120.0,0.0,2.857329766667152,0.1428664883333576
100,90.0,0.0,90.0,0.0,130.0,0.0,130.0,0.0,1.9556525606495752,0.09778262803247875
101,90.0,0.0,90.0,0.0,140.0,0.0,140.0,0.0,1.4129019846053115,0.07064509923026557
102,90.0,0.0,90.0,0.0,150.0,0.0,150.0,0.0,0.9812617743025507,0.04906308871512754
103,90.0,0.0,90.0,0.0,160.0,0.0,160.0,0.0,0.7458646298686874,0.03729323149343437
104,90.0,0.0,90.0,0.0,170.0,0.0,170.0,0.0,0.5421920274713151,0.027109601373565755
105,90.0,0.0,90.0,0.0,180.0,0.0,180.0,0.0,0.39249718906341985,0.019624859453170992
106,110.0,0.0,110.0,0.0,130.0,0.0,130.0,0.0,4.077168247401541,0.20385841237007707
107,110.0,0.0,110.0,0.0,140.0,0.0,140.0,0.0,2.484876570234813,0.12424382851174066
108,110.0,0.0,110.0,0.0,150.0,0.0,150.0,0.0,1.6821715224118934,0.08410857612059466
109,110.0,0.0,110.0,0.0,160.0,0.0,160.0,0.0,1.131760579074177,0.05658802895370885
110,110.0,0.0,110.0,0.0,170.0,0.0,170.0,0.0,0.728361811268806,0.036418090563440295
111,110.0,0.0,110.0,0.0,180.0,0.0,180.0,0.0,0.5796403528125434,0.028982017640627175
112,110.0,0.0,110.0,0.0,190.0,0.0,190.0,0.0,0.39447458838486715,0.019723729419243358
113,110.0,0.0,110.0,0.0,200.0,0.0,200.0,0.0,0.2857090832635637,0.014285454163178186
114,140.0,0.0,140.0,0.0,160.0,0.0,160.0,0.0,6.579578391205796,0.32897891956028985
115,140.0,0.0,140.0,0.0,170.0,0.0,170.0,0.0,3.731810104080937,0.18659050520404682
116,140.0,0.0,140.0,0.0,180.0,0.0,180.0,0.0,2.259624191335545,0.11298120956677725
117,140.0,0.0,140.0,0.0,190.0,0.0,190.0,0.0,1.4731146227351033,0.07365573113675516
118,140.0,0.0,140.0,0.0,200.0,0.0,200.0,0.0,0.9645820149631542,0.048229100748157706
119,180.0,0.0,180.0,0.0,200.0,0.0,200.0,0.0,6.018900310103633,0.30094501550518166
120,150.0,0.0,150.0,0.0,170.0,0.0,170.0,0.0,6.140579402638919,0.30702897013194597
121,150.0,0.0,150.0,0.0,180.0,0.0,180.0,0.0,3.7385126871802283,0.18692563435901144
122,150.0,0.0,150.0,0.0,190.0,0.0,190.0,0.0,2.2325015483811406,0.11162507741905703
123,150.0,0.0,150.0,0.0,200.0,0.0,200.0,0.0,1.5706905915205172,0.07853452957602586
